,Short description,Description,Caller,Assignment group,Cat_Short_Description,Cat_Description,Final Category,Description_len,Short_Dec_len,Des_wrd_cnt,Short_Des_wrd_cnt
194,crm tab appear outlook,crm tab appear outlook,lrbjqcmh jbiwtzqr,GRP_0,English,English,English,22,22,4,4
195,unable submit expense report locked user,unable submit expense report locked user,pvbomqht smfkuhwi,GRP_0,English,English,English,40,40,6,6
196,titcket update inplant,titcket update inplant,fumkcsji sarmtlhy,GRP_0,English,English,English,22,22,3,3
197,need approve new product request,need approve new product request,uyrpdvoq mbzevtcx,GRP_21,English,English,English,32,32,5,5
198,ticket update inplant,ticket update inplant,fumkcsji sarmtlhy,GRP_0,English,English,English,21,21,3,3
199,changed desktop wallpaper,changed desktop wallpaper,aqdjcuhn lagfitkz,GRP_0,English,English,English,25,25,3,3
200,unable open website,name xbdht yrjhd language browser microsoft internet explorer customer number summary benefit advisor run browser,aqjdvexo lmedazjo,GRP_0,English,English,English,113,19,15,3
201,msd crm,assign crm license nyrjkctu tbhkenlo use profile like qmglkaru qiwhfkdv,qmglkaru qiwhfkdv,GRP_22,English,English,English,71,7,10,2
202,sound,received good afternoon issue notebook cannot get sound cannot participate skype call,udetjzmn ayueswcm,GRP_0,English,English,English,85,5,12,1
203,need username submit insurance,need username submit insurance,kamtroxv oequfsky,GRP_0,English,English,English,30,30,4,4
204,query external browser,query external browser,crkdjbot qiztrxne,GRP_0,English,English,English,22,22,3,3
205,unable access benefit apps tool one time,unable access benefit apps tool one time access denied,batsxwnl ashkzvnr,GRP_2,English,English,English,54,40,9,7
206,unable see current course ethic,unable see current course ethic user bdtryh,ajgnibkx zixmcjgu,GRP_23,English,English,English,43,31,7,5
207,user clicked driver update manually restarting machine receivng error,user clicked driver update manually restarting machine received error stating pnp detected fatal error,nyscufdq wjtcsahz,GRP_0,English,English,English,102,69,14,9
208,erp sid account unlock,erp sid account unlock,mfeyouli ndobtzpw,GRP_0,English,English,English,22,22,4,4
209,window password reset,window password reset,gtxuamif pamxszek,GRP_0,English,English,English,21,21,3,3
210,telephone number update,telephone number update,ufpkvlyn bozthrie,GRP_0,English,English,English,23,23,3,3
211,insurance information,insurance information,gxvhauic zogmauli,GRP_0,English,English,English,21,21,2,2
212,please give chrtyad access reporting tool ltaballotcsalesemp map thrdy tgyu team virtual table,please give chrtyad access reporting tool ltaballotcsalesemp map thrdy tgyu team virtual table,icqleypr kneoblzd,GRP_2,English,English,English,94,94,13,13
213,loud noise gso,loud noise gso,rbozivdq gmlhrtvp,GRP_0,English,English,English,14,14,3,3
214,es kiosk user password reset,es kiosk user password reset,rbozivdq gmlhrtvp,GRP_0,English,English,English,28,28,5,5
215,network outage warehouse node company ups vpn rtr,type outage network circuit power please specify type outage top cert site yes start scheduled maintenance power yes company power provider power scheduled maintenance network yes company maint yes provider maint ticket site backup circuit yes backup circuit active yes site contact notified phone email yes remote dial yes equipment reset yes verified site working backup circuit yes vendor ticket global telecom verizon telecom vendor telecom vendor notified gsc yes cert started yes additional diagnostics,jyoqwxhz clhxsoqy,GRP_8,English,English,English,508,49,75,8
216,ticket comment added,received uacyltoe hxgayczeed sid work correctly accounting document generated automatically without error approving change cid image png ecd best,repyzajo lxfwopyq,GRP_18,English,English,English,145,20,19,3
217,erp sid account unlock,erp sid account unlock,woaiypxu dxslkbif,GRP_0,English,English,English,22,22,4,4
218,export shipment grinding mahcine khdgd apac advance information,received hdytrkfiu sent thursday october xjzcbgnp vfkwscao subject export shipment grinding mahcine khdgd apac advance information pushixepyfbga wtqdyoin dispatching grinding machine khdgd apac tomorrow advance information everything place seek support area help clearing consignment tomorrow,rdfjsawg zpmxgdcw,GRP_0,English,English,English,292,63,35,8
219,please add work phone number profile,contact phone,jondkicb yahtgpuv,GRP_0,English,English,English,13,36,2,6
220,adding member,adding member,msarjyhi fpxdbeno,GRP_0,English,English,English,13,13,2,2
221,java issue uacyltoe hxgaycze laptop,java issue uacyltoe hxgaycze laptop,akhdmgwt yhgpafqx,GRP_19,English,English,English,35,35,5,5
222,support gstry arexjftu ohxdwngl,support konnica arexjftu ohxdwngl,arexjftu ohxdwngl,GRP_24,English,English,English,33,31,4,4
224,job tool netch failed job scheduler,received job tool netch failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,44,35,7,6
225,tool crash confirmation deleted able remove scrap confirmation rectified erp,tool crash confirmation deleted able remove scrap confirmation rectified erp,mlckvyfq aonlxvwb,GRP_25,English,English,English,76,76,10,10
226,enable bgdxitwu dhcopwxa active directory account,enable bgdxitwu dhcopwxa active directory account name fdgrty summary need bgdxitwu dhcopwxa active directory account enabled,kcwqdeob jwtpkzub,GRP_2,English,English,English,125,49,16,6
227,sync email issue,sync email issue,wjkzgyxh pktcqbxu,GRP_0,English,English,English,16,16,3,3
228,internet explorer issue,user issue internet explorer page keep refreshing end dll error,pbrmgyzo hzoxdijn,GRP_3,English,English,English,63,23,10,3
229,call ecwtrjnq jpecxuty,call ecwtrjnq jpecxuty,olckhmvx pcqobjnd,GRP_0,English,English,English,22,22,3,3
230,blank call,blank call,rbozivdq gmlhrtvp,GRP_0,English,English,English,10,10,2,2
231,unable view payslip,unable view payslip,aqdjcuhn lagfitkz,GRP_0,English,English,English,19,19,3,3
232,customer getting order acknowledgement automatically,received two customer account getting order acknowledgement automatically like past year top parent accts automatically sending acknowledgement since october getting someone look affecting customer paying bill use acknowledgement receiver pay bill senior sale engineer company inc,kgqpwvzu rkexzwlh,GRP_13,English,English,English,280,52,36,5
233,production order locked,production order locked user gtxuamif pamxszek one able unlock order unlocked inspection lot processed gtxuamif pamxszek,aqgphjbc utjrsedy,GRP_14,English,English,English,120,23,16,3
234,need access finance section hub,received could always get finance section need access please cid image jpg bddf bwfhtumx japznrvb regional controller,bwfhtumx japznrvb,GRP_16,English,English,English,117,31,17,5
235,erp sid account unlock password reset,erp sid account unlock password reset,jfsmwpny klxsdqiw,GRP_0,English,English,English,37,37,6,6
236,received message tell email mentioned sent,received message tell email mentioned sent,xawlkiey demjqrfl,GRP_26,English,English,English,42,42,6,6
237,email address confirmation,email address confirmation,fyokahtw sidurjge,GRP_0,English,English,English,26,26,3,3
238,erp msd crm connectivity issue serirtce certificate renewal,connectivity issue erp msd crm due certificate renewal azure website certificate yet updated erp side issue change data record account sale area data partner function contact lead processed erp worked msd crm vice versa environment prod dev issue start time oct troubleshooting step tryhdty customer master team reported issue prospect account created erp come msd yet erp team observed record still awaiting acknowledgement status basically mean yet delivered received target system upon log analysis trying identify root erp basis msd team observed issue started production environment since around est october observed behavior azure mfg tool erp log non production environment well find error screenshots erp system mail chain root appears certificate azure webapps updated sept nearing expiration date jan new certificate updated erp even aware change production azure webapp company crm mfg toolt azurewebsites net got restarted oct around connectivity appears broken next step need azure webapp certificate chain sent erp basis team update erp system reach receiving certificate detail azure admin house want open case microsoft certificate received maybe first system upon confirmation work apply production environment,kgytujhe bonhwzrx,GRP_14,English,English,English,1227,59,178,8
239,printer problem issue information,please complete required question returned back gsc requester provide required information gsc review ticket able resolve please assign appropriate group per printer problem assignment flowchart printer name make model detailed description problem error say need download install software driver hostname computer print type document printing email excel word etc word inwarehouse tool delivery note production order etc system application used time problem window erp window printing respond ping command network power cycle printer completed sure mean erp system system sid sid hrp plm erp erp printer problem erp output rerouted another erp printer temporarily erp printer rerouted document printing correctly please scan copy document attach ticketing tool ticket,dzjxrkae grqczsmx,GRP_3,English,English,English,767,33,108,4
240,power outage australia australia site hard since,type outage network circuit power please specify type outage top cert site yes start scheduled maintenance power yes company power provider power scheduled maintenance network yes company maint yes provider maint ticket site backup circuit yes yes backup circuit active yes site contact notified phone email yes remote dial yes equipment reset yes verified site working backup circuit yes vendor ticket global telecom verizon telecom vendor telecom vendor global telecom notified gsc yes cert started yes additional diagnostics,utyeofsk rdyzpwhi,GRP_8,English,English,English,527,48,78,7
241,unable log erp,received hello team unable log erp account even correct password accepted need resolution urgent basis,ygkzwsud cvjgkxws,GRP_0,English,English,English,102,14,15,3
242,window password reset,window password reset,hcplzsxg qkujnapl,GRP_0,English,English,English,21,21,3,3
243,activate iphone,iygsxftl hysrbgad set spare company owned iphone old one broken agreement supervisor appoval attached account quarantined could please activate new device,fbyusmxz kxvmcbly,GRP_0,English,English,English,154,15,21,2
244,login issue,login issue verified user detail employee manager name checked user name reset password advised user login check caller confirmed able login issue resolved,serckxqb mljnkgze,GRP_0,English,English,English,155,11,23,2
245,unable print printer,welcome next available agent shortly interaction alerting agent website visitor joined conversation ayrhcfxi zartupsw ayrhcfxi zartupsw,vsbtygin oufhtbas,GRP_0,English,English,English,135,20,16,3
246,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
247,outlook crashing,welcome next available agent shortly interaction alerting agent website visitor joined conversation ayrhcfxi zartupsw hello gstdy yrada ayrhcfxi zartupsw hello,tphbruoq xtukhnym,GRP_27,English,English,English,159,16,20,2
